,precision,recall,f1-score,support
0,0.838150289017341,0.9570957095709571,0.8936825885978429,606.0
1,0.8156028368794326,0.5066079295154186,0.625,227.0
accuracy,0.8343337334933973,0.8343337334933973,0.8343337334933973,0.8343337334933973
macro avg,0.8268765629483867,0.7318518195431878,0.7593412942989215,833.0
weighted avg,0.8320059053014884,0.8343337334933973,0.8204641640939889,833.0
