feature,importance
feature_10,0.19878018
feature_11,0.11785416
feature_12,0.095118806
feature_4,0.05244421
feature_13,0.04747571
feature_3,0.044425614
feature_6,0.043256763
feature_1,0.043054476
feature_0,0.042686034
feature_7,0.040762726
feature_2,0.040082272
feature_5,0.039303634
feature_19,0.037963193
feature_8,0.037539843
feature_16,0.03597542
feature_9,0.029293662
feature_14,0.028695313
feature_17,0.025288044
feature_15,0.0
feature_18,0.0
feature_20,0.0
