model_name,auroc,auprc,f1,optimal_threshold_f1
random_forest,0.8622148558468181,0.7556958331847634,0.625,0.36363636363636365
gradient_boosting,0.8575842165714369,0.7598477651415012,0.5892351274787535,0.33333333333333337
xgboost,0.8314141986885913,0.7459811283800908,0.6428571428571429,0.4545454545454546
logistic,0.7608423837978511,0.5821149272045409,0.38064516129032255,0.33333333333333337
