,precision,recall,f1-score,support
0,0.776,0.9603960396039604,0.8584070796460177,606.0
1,0.7108433734939759,0.2599118942731278,0.38064516129032255,227.0
accuracy,0.7695078031212484,0.7695078031212484,0.7695078031212484,0.7695078031212484
macro avg,0.7434216867469879,0.6101539669385441,0.6195261204681701,833.0
weighted avg,0.7582442326328122,0.7695078031212484,0.7282126553161944,833.0
