,precision,recall,f1-score,support
0,0.826025459688826,0.9636963696369637,0.8895658796648895,606.0
1,0.8253968253968254,0.4581497797356828,0.5892351274787535,227.0
accuracy,0.8259303721488596,0.8259303721488596,0.8259303721488596,0.8259303721488596
macro avg,0.8257111425428256,0.7109230746863233,0.7394005035718215,833.0
weighted avg,0.8258541511842833,0.8259303721488596,0.8077230456357745,833.0
