feature,importance
feature_10,0.28900803315558615
feature_11,0.2866459225461504
feature_12,0.26387181261716475
feature_13,0.0314226560879943
feature_0,0.03027736869414245
feature_3,0.022208280176455708
feature_6,0.01977886655642841
feature_4,0.019250263516016924
feature_2,0.009645845025329088
feature_8,0.007172758103216614
feature_5,0.006248032589953779
feature_9,0.0057563101798065
feature_7,0.004992339815473598
feature_1,0.002630631578710201
feature_14,0.0007542143641717748
feature_20,0.00032798646348392734
feature_19,5.2035350629298835e-06
feature_16,3.474994852500382e-06
feature_15,0.0
feature_18,0.0
feature_17,0.0
